Idea,Decision,Why,What we learned,Evidence in final app
"LoadLight workload manager","Kept","Connects planning with emotional capacity and answers whether the student can carry more.","The strongest idea was a capacity-aware planning tool, not another generic to-do list.","Dashboard, task load calculation, What-if, Balance, Care, Journal."
"Task-based workload calculation","Kept","Mentor feedback asked how workload is calculated, so the score needed a visible source.","A credible workload score needs task inputs.","Task form collects time, category, start date, due date, flexibility, and reminder."
"Shared workload logic","Kept","Conflicting numbers across pages would break trust.","Consistency is a product decision, not only a technical decision.","Dashboard, Tasks, What-if, and Balance use shared workload logic."
"What-if predictive sandbox","Kept","Students accept extra work before seeing the cost.","Prevention is more novel than only recovery.","What-if previews projected load before accepting a commitment."
"Balance move keep drop flow","Kept","Overload needs concrete action, not just advice.","Balance should reduce overload without forcing deletion.","User chooses move, keep, or drop, with AI plan confirmation."
"AI auto plan","Kept with guardrails","Helpful only if it suggests enough change, not too much.","Automation must stay user-controlled.","Auto plan modal requires confirm and can be adjusted."
"Task editing and rescheduling","Kept","Users may dislike the app's suggested schedule.","Suggested plans should stay editable.","Edit controls update title, category, hours, dates, reminder, priority, and flexibility."
"Reminder before tasks","Kept","A plan is more useful if the app nudges before work starts.","Small reminder settings make the prototype feel complete.","Users can choose no reminder, 5 min, 10 min, or 30 min before."
"Day plan","Kept","Students need to see what is active on one selected day.","Date-range tasks must appear on every active day.","Multi-day tasks show across start-to-due range."
"Weekly plan","Kept","Burnout is clearer at week level.","Balance should work at weekly level.","Weekly plan shows selected week, daily loads, and active tasks."
"Journal mood and stress analysis","Kept","Stress is emotional as well as logistical.","Journal can turn feelings into wellbeing insight.","User records mood and notes; Lumi can analyze pressure and suggest comfort."
"Boundary reply generator","Kept","Students overload because saying no is hard.","Boundary setting is part of workload management.","User describes a situation and gets soft, firm, or short replies."
"Recovery tools","Kept","Users need immediate small resets when stressed.","Recovery should be tiny and actionable.","Breath, wooden fish tapping, and bubble popping."
"Reflect tool","Kept","Users may not know the real pressure source.","Identify the pressure before choosing the solution.","Reflect asks one small question based on guilt, deadline, people pressure, or messy stress."
"Community feature","Reduced","Too much community made the app crowded and less focused.","Workload clarity should come first.","Community remains secondary."
"Mini-game-first app","Reduced","Games alone do not solve planning or overload.","Mini games should support recovery, not define the product.","Mini games sit under Care."
"Pure to-do list","Dropped","Too generic and does not show capacity.","A list alone cannot prevent burnout.","Tasks are inputs for load calculation."
"Pure calendar planner","Dropped","Time blocks do not capture mental, social, or physical load.","Time and workload are related but not identical.","Load uses effort weight and task dimensions."
"Pure wellness chatbot","Dropped","Comfort without task action feels generic.","Emotional support should connect to planning action.","Lumi supports planning, Boundary, Reflect, and Journal."
"Forced automatic scheduling","Dropped","Users disliked the app deciding for them.","The app should suggest, not control.","User confirms before AI changes apply."
"Day-only overload repair","Dropped","Moving work within the same week may not reduce weekly pressure.","Balance should move tasks out of the overloaded week when needed.","Move sends flexible tasks to next week."
